RT	dc:type
SR	dc:source
ID	dc:identifier
A1	bibtex:hasAuthor
T1	bibtex:hasTitle
JF	bibtex:hasJournal
JO	bibtex:hasJournal
YR	bibtex:hasYear
FD	bibtex:hasNote
VO	bibtex:hasVolume
IS	bibtex:hasNumber
SP	bibtex:hasPages
OP	bibtex:hasPages
K1	bibtex:hasKeywords
AB	bibtex:hasAbstract
NO	bibtex:hasNote
A2	bibtex:hasAuthor
T2	bibtex:hasBooktitle
ED	bibtex:hasEdition
PB	bibtex:hasPublisher
PP	bibtex:hasLocation
A3	bibtex:hasEditor
A4	bibo:tranlsator
A5	bibtex:hasEditor
T3	bibtex:hasSeries
SN	bibtex:hasISBN
AV	dc:available
LA	bibtex:hasLanguage
CL	dc:subject
SF	bibtex:hasCrossref
OT	dc:title
LK	bibtex:hasURL
DO	bibo:doi
DB	bibtex:hasCrossRef
UL	bibtex:hasURL
SL	bibtex:hasInstitution
CR	dcterms:references
WT	bibtex:hasTitle
A6	bibtex:hasEditor
WV	bibtex:hasURL
WP	dc:date
OL	dc:language
DS 	dc:source
RD	dc:date
AN 	bibo:record
U1	skip
U2 	skip
U3 	skip
U4	skip
U5	skip
U6	skip
U7	skip
U8	skip
ST 	skip
